[2023-12-21 10:52:05,805][INFO] 
===== FNN_big-0.05-500-small-2023-12-21-10-52-05 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a9823a0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a982dc0>
===== end of FNN_big-0.05-500-small-2023-12-21-10-52-05 configuration =====

[2023-12-21 10:52:05,805][INFO] ===== start repair ======
[2023-12-21 10:52:05,805][INFO] For pgd attack net
[2023-12-21 10:52:06,841][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 10:52:08,070][INFO] --load the trainset and testset as testing set
[2023-12-21 10:52:08,076][INFO] --evaluate the original net on testset
[2023-12-21 10:52:08,078][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 10:52:08,078][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 10:52:08,460][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 10:52:20,572][INFO] --epoch 182 loss 0.005623269098578021
[2023-12-21 10:52:20,638][INFO] --epoch 183 loss 0.005051976098911837
[2023-12-21 10:52:20,703][INFO] --epoch 184 loss 0.0030497452622512355
[2023-12-21 10:52:20,771][INFO] --epoch 185 loss 0.002875708829378709
[2023-12-21 10:52:20,836][INFO] --epoch 186 loss 0.0059411151276435705
[2023-12-21 10:52:20,903][INFO] --epoch 187 loss 0.009168193425284698
[2023-12-21 10:52:20,967][INFO] --epoch 188 loss 0.003558903976227157
[2023-12-21 10:52:21,030][INFO] --epoch 189 loss 0.008076236041961237
[2023-12-21 10:52:21,094][INFO] --epoch 190 loss 0.10288445547630545
[2023-12-21 10:52:21,160][INFO] --epoch 191 loss 0.04254759551258758
[2023-12-21 10:52:21,223][INFO] --epoch 192 loss 0.005881531111663207
[2023-12-21 10:52:21,286][INFO] --epoch 193 loss 0.004225961948395707
[2023-12-21 10:52:21,350][INFO] --epoch 194 loss 0.005659640370868147
[2023-12-21 10:52:21,412][INFO] --epoch 195 loss 0.004611368518089876
[2023-12-21 10:52:21,477][INFO] --epoch 196 loss 0.03948366062832065
[2023-12-21 10:52:21,542][INFO] --epoch 197 loss 0.00735036245896481
[2023-12-21 10:52:21,607][INFO] --epoch 198 loss 0.017266147182090207
[2023-12-21 10:52:21,690][INFO] --epoch 199 loss 0.009342647425364703
[2023-12-21 10:52:21,690][INFO] --adv training finished
[2023-12-21 10:52:21,720][INFO] --evaluate the adv training net on testset
[2023-12-21 10:52:21,721][INFO] --For testset, out of 10000 items, ratio 0.9464
[2023-12-21 10:52:21,721][INFO] --test the defense against autoattack
[2023-12-21 10:52:26,106][INFO] correct1 22
[2023-12-21 10:52:30,392][INFO] correct2 32
[2023-12-21 10:52:34,125][INFO] correct3 14
[2023-12-21 10:52:38,042][INFO] correct1 16
[2023-12-21 10:52:42,489][INFO] correct2 32
[2023-12-21 10:52:47,050][INFO] correct3 6
[2023-12-21 10:52:51,381][INFO] correct1 26
[2023-12-21 10:52:56,198][INFO] correct2 32
[2023-12-21 10:53:00,718][INFO] correct3 16
[2023-12-21 10:53:04,670][INFO] correct1 19
[2023-12-21 10:53:08,339][INFO] correct2 30
[2023-12-21 10:53:11,662][INFO] correct3 11
[2023-12-21 10:53:15,011][INFO] correct1 21
[2023-12-21 10:53:18,789][INFO] correct2 31
[2023-12-21 10:53:22,256][INFO] correct3 17
[2023-12-21 10:53:25,566][INFO] correct1 19
[2023-12-21 10:53:29,242][INFO] correct2 32
[2023-12-21 10:53:32,856][INFO] correct3 8
[2023-12-21 10:53:36,375][INFO] correct1 19
[2023-12-21 10:53:40,141][INFO] correct2 31
[2023-12-21 10:53:43,554][INFO] correct3 11
[2023-12-21 10:53:47,069][INFO] correct1 15
[2023-12-21 10:53:50,842][INFO] correct2 30
[2023-12-21 10:53:54,214][INFO] correct3 9
[2023-12-21 10:53:57,516][INFO] correct1 20
[2023-12-21 10:54:01,147][INFO] correct2 30
[2023-12-21 10:54:04,898][INFO] correct3 9
[2023-12-21 10:54:08,231][INFO] correct1 16
[2023-12-21 10:54:11,986][INFO] correct2 31
[2023-12-21 10:54:15,584][INFO] correct3 13
[2023-12-21 10:54:19,158][INFO] correct1 18
[2023-12-21 10:54:23,099][INFO] correct2 31
[2023-12-21 10:54:26,635][INFO] correct3 7
[2023-12-21 10:54:30,188][INFO] correct1 20
[2023-12-21 10:54:34,179][INFO] correct2 31
[2023-12-21 10:54:37,541][INFO] correct3 9
[2023-12-21 10:54:41,055][INFO] correct1 23
[2023-12-21 10:54:44,790][INFO] correct2 31
[2023-12-21 10:54:48,326][INFO] correct3 7
[2023-12-21 10:54:51,876][INFO] correct1 20
[2023-12-21 10:54:55,619][INFO] correct2 31
[2023-12-21 10:54:59,058][INFO] correct3 3
[2023-12-21 10:55:02,450][INFO] correct1 19
[2023-12-21 10:55:06,209][INFO] correct2 30
[2023-12-21 10:55:09,690][INFO] correct3 10
[2023-12-21 10:55:13,164][INFO] correct1 15
[2023-12-21 10:55:17,075][INFO] correct2 31
