[2023-12-21 05:16:43,189][INFO] 
===== FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 200
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982a60>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 200
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====

[2023-12-21 05:16:43,190][INFO] ===== start repair ======
[2023-12-21 05:16:43,190][INFO] For pgd attack net
[2023-12-21 05:16:43,594][INFO] --big patch network: --- PatchNet ---
Name: small patch network 199
--- End of PatchNet ---
[2023-12-21 05:16:44,178][INFO] --load the trainset and testset as testing set
[2023-12-21 05:16:44,186][INFO] --evaluate the original net on testset
[2023-12-21 05:16:44,186][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:16:44,187][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 05:16:44,335][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:17:17,324][INFO] correct2 28
[2023-12-21 05:17:18,115][INFO] correct3 0
[2023-12-21 05:17:22,349][INFO] correct1 4
[2023-12-21 05:17:22,846][INFO] correct2 32
[2023-12-21 05:17:23,165][INFO] correct3 0
[2023-12-21 05:17:27,476][INFO] correct1 3
[2023-12-21 05:17:28,139][INFO] correct2 32
[2023-12-21 05:17:28,590][INFO] correct3 0
[2023-12-21 05:17:34,441][INFO] correct1 3
[2023-12-21 05:17:35,088][INFO] correct2 29
[2023-12-21 05:17:35,518][INFO] correct3 0
[2023-12-21 05:17:40,867][INFO] correct1 4
[2023-12-21 05:17:42,186][INFO] correct2 29
[2023-12-21 05:17:42,622][INFO] correct3 0
[2023-12-21 05:17:48,089][INFO] correct1 3
[2023-12-21 05:17:49,574][INFO] correct2 31
[2023-12-21 05:17:50,894][INFO] correct3 0
[2023-12-21 05:17:55,115][INFO] correct1 2
[2023-12-21 05:17:55,611][INFO] correct2 29
[2023-12-21 05:17:55,938][INFO] correct3 0
[2023-12-21 05:18:00,188][INFO] correct1 1
[2023-12-21 05:18:00,690][INFO] correct2 31
[2023-12-21 05:18:01,002][INFO] correct3 0
[2023-12-21 05:18:05,567][INFO] correct1 7
[2023-12-21 05:18:06,068][INFO] correct2 29
[2023-12-21 05:18:06,400][INFO] correct3 0
[2023-12-21 05:18:10,718][INFO] correct1 4
[2023-12-21 05:18:11,215][INFO] correct2 31
[2023-12-21 05:18:12,870][INFO] correct3 0
[2023-12-21 05:18:17,140][INFO] correct1 5
[2023-12-21 05:18:18,128][INFO] correct2 31
[2023-12-21 05:18:18,943][INFO] correct3 0
[2023-12-21 05:18:23,232][INFO] correct1 3
[2023-12-21 05:18:24,670][INFO] correct2 31
[2023-12-21 05:18:25,937][INFO] correct3 0
[2023-12-21 05:18:30,223][INFO] correct1 2
[2023-12-21 05:18:31,199][INFO] correct2 31
[2023-12-21 05:18:32,014][INFO] correct3 0
